Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,188.399994,188.399994,177.550003,180.100006,174.560287,99723382
2016-03-14,182.449997,192.000000,180.699997,191.250000,185.367294,98682391
2016-03-21,193.000000,198.250000,193.000000,196.600006,190.552765,50769658
2016-03-28,195.800003,198.750000,186.649994,195.649994,189.631958,109159537
2016-04-04,197.300003,197.449997,180.199997,183.100006,177.468018,103954665
2016-04-11,183.850006,193.800003,182.000000,191.899994,185.997314,51126753
2016-04-18,191.449997,201.500000,184.100006,200.149994,193.993561,99206359
2016-04-25,200.949997,202.550003,186.449997,189.000000,183.186508,114023807
2016-05-02,187.600006,189.350006,178.500000,184.350006,178.679550,84623359
2016-05-09,186.500000,190.300003,184.100006,184.850006,179.164169,78783074
2016-05-16,185.000000,185.000000,170.550003,171.350006,166.079422,120666567
2016-05-23,172.300003,202.399994,166.399994,195.899994,189.874283,166197605
2016-05-30,200.199997,208.300003,194.600006,196.600006,190.552765,175470261
2016-06-06,197.449997,212.800003,197.100006,205.949997,202.237015,178306227
2016-06-13,201.500000,218.500000,200.199997,213.449997,209.601807,168083233
2016-06-20,208.000000,218.000000,202.500000,211.250000,207.441483,135880912
2016-06-27,210.800003,221.899994,210.550003,219.600006,215.640945,114773141
2016-07-04,222.350006,225.149994,216.500000,218.300003,214.364380,60826797
2016-07-11,223.600006,234.399994,222.000000,231.500000,227.326385,89859626
2016-07-18,232.399994,233.850006,222.100006,223.500000,219.470627,75284391
2016-07-25,223.000000,235.149994,222.699997,229.399994,225.264236,92631839
2016-08-01,230.800003,233.899994,223.199997,232.750000,228.553864,86130442
2016-08-08,233.949997,247.949997,224.399994,243.300003,238.913666,156396616
2016-08-15,243.300003,260.000000,242.649994,258.500000,253.839630,100141402
2016-08-22,259.799988,260.399994,245.850006,246.600006,242.154175,86676589
2016-08-29,245.850006,255.800003,244.250000,254.600006,250.009933,66267053
2016-09-05,254.600006,271.600006,254.600006,264.100006,259.338654,73278269
2016-09-12,257.500000,262.000000,251.800003,254.300003,249.715347,57541855
2016-09-19,256.000000,258.799988,250.649994,254.550003,249.960831,67692667
2016-09-26,253.949997,256.750000,243.500000,251.250000,246.720337,80120087
2016-10-03,253.000000,264.899994,252.649994,258.700012,254.036026,74731263
2016-10-10,259.350006,260.299988,245.850006,252.100006,247.555008,39584433
2016-10-17,253.750000,260.899994,252.000000,258.500000,253.839630,69643294
2016-10-24,259.299988,264.899994,254.000000,258.000000,253.348648,60951311
2016-10-31,258.000000,260.899994,240.300003,242.850006,238.471786,49276985
2016-11-07,248.000000,288.799988,235.000000,273.000000,268.078217,160517925
2016-11-14,273.000000,284.799988,270.700012,275.799988,270.827728,109081947
2016-11-21,277.149994,277.600006,251.149994,260.950012,256.245483,116054805
2016-11-28,253.449997,261.399994,248.000000,254.100006,249.518951,85599485
2016-12-05,254.399994,267.200012,251.649994,266.649994,261.842682,65700528
2016-12-12,268.899994,269.350006,259.000000,264.750000,259.976959,55344988
2016-12-19,263.350006,264.500000,247.800003,249.149994,244.658188,53453810
2016-12-26,248.000000,252.500000,243.100006,250.199997,245.689255,50293720
2017-01-02,252.500000,253.649994,241.100006,245.899994,241.466782,77503268
2017-01-09,246.399994,254.449997,246.000000,250.899994,246.376648,51712628
2017-01-16,251.050003,262.000000,250.300003,251.050003,246.523941,59134732
2017-01-23,251.000000,268.200012,250.100006,266.450012,261.646301,57263065
2017-01-30,265.850006,278.549988,259.649994,277.549988,272.546173,83543947
2017-02-06,280.000000,282.799988,270.850006,276.350006,271.367828,92990031
2017-02-13,277.799988,278.250000,267.049988,269.350006,264.494019,84986565
2017-02-20,269.899994,274.700012,268.000000,270.450012,265.574188,42747327
2017-02-27,270.799988,274.700012,264.250000,265.049988,260.271545,49584676
2017-03-06,266.600006,275.549988,266.000000,272.049988,267.145325,55388657
2017-03-13,272.049988,280.500000,272.049988,274.149994,269.207489,68061686
2017-03-20,274.750000,278.950012,266.700012,276.500000,271.515106,59595258
2017-03-27,276.000000,295.000000,275.200012,293.399994,288.110413,105516331
2017-04-03,294.799988,298.750000,287.649994,289.450012,284.231628,61624870
2017-04-10,289.799988,295.450012,286.549988,291.549988,286.293762,45185340
2017-04-17,291.100006,296.899994,279.250000,282.200012,277.112366,66311082
2017-04-24,283.250000,290.750000,280.899994,289.750000,284.526215,72221022
2017-05-01,289.750000,304.899994,285.799988,296.000000,290.663544,82996957
2017-05-08,296.100006,302.600006,293.000000,297.899994,292.529297,53414687
2017-05-15,298.399994,315.299988,297.500000,308.000000,302.447235,112759853
2017-05-22,308.950012,309.399994,281.649994,288.450012,283.249664,99376892
2017-05-29,288.899994,291.500000,281.049988,287.049988,284.424042,55151625
2017-06-05,288.049988,292.950012,285.799988,288.549988,285.910309,50303072
2017-06-12,286.750000,287.000000,281.350006,285.950012,283.334137,62236698
2017-06-19,286.600006,295.899994,285.299988,288.950012,286.306671,87072937
2017-06-26,288.950012,289.450012,269.700012,273.649994,271.146637,85457315
2017-07-03,274.100006,282.700012,272.049988,280.100006,277.537628,48885704
2017-07-10,284.100006,293.600006,283.000000,291.600006,288.932434,44205966
2017-07-17,292.799988,296.399994,288.250000,290.649994,287.991119,44992974
2017-07-24,290.799988,300.750000,290.700012,299.100006,296.363831,72622950
2017-07-31,299.399994,314.799988,297.600006,305.250000,302.457550,97517222
2017-08-07,305.799988,311.799988,277.450012,280.149994,277.587158,123024261
2017-08-14,281.450012,284.700012,274.200012,278.700012,276.150452,69635373
2017-08-21,279.000000,281.450012,271.200012,280.299988,277.735779,46517588
2017-08-28,282.100006,282.100006,274.200012,277.850006,275.308228,50967659
2017-09-04,278.950012,279.600006,271.100006,271.799988,269.313538,47221581
2017-09-11,272.600006,276.600006,269.549988,271.500000,269.016296,59434507
2017-09-18,273.000000,274.000000,261.100006,261.850006,259.454590,65596111
2017-09-25,261.500000,261.799988,249.500000,253.850006,251.527771,70596224
2017-10-02,253.850006,257.899994,249.199997,256.750000,254.401230,50020563
2017-10-09,256.799988,258.600006,248.500000,252.100006,249.793777,61046951
2017-10-16,254.600006,254.699997,241.149994,242.750000,240.529312,49813806
2017-10-23,244.000000,351.299988,242.300003,311.049988,308.204498,429161229
2017-10-30,312.000000,327.500000,304.299988,325.000000,322.026886,129902214
2017-11-06,323.600006,338.500000,306.649994,333.549988,330.498657,164100542
2017-11-13,336.750000,346.700012,322.250000,337.500000,334.412537,130838479
2017-11-20,337.100006,339.649994,327.000000,332.399994,329.359192,75614702
2017-11-27,329.899994,337.000000,311.250000,312.750000,309.888947,84136211
2017-12-04,314.700012,320.700012,308.799988,313.100006,310.235748,76374250
2017-12-11,315.950012,320.500000,309.500000,312.250000,309.393524,79158972
2017-12-18,308.000000,323.850006,300.399994,319.850006,316.924011,80495214
2017-12-25,319.850006,320.299988,307.649994,309.899994,307.065002,55898438
2018-01-01,310.600006,312.750000,301.350006,306.350006,303.547485,79934811
2018-01-08,307.200012,309.500000,300.000000,302.250000,299.484985,72089234
2018-01-15,303.950012,317.799988,292.600006,309.250000,306.420959,120969668
2018-01-22,308.350006,332.750000,304.049988,313.149994,310.285278,128411532
2018-01-29,313.149994,318.850006,295.500000,297.350006,294.629822,108611904
2018-02-05,292.649994,303.299988,282.899994,296.399994,293.688507,105665234
2018-02-12,288.250000,292.399994,270.049988,271.649994,269.164917,152877163
2018-02-19,271.500000,277.200012,256.649994,276.049988,273.524658,142086475
2018-02-26,280.000000,280.000000,260.799988,262.149994,259.751831,85800915
2018-03-05,260.450012,266.000000,244.300003,253.250000,250.933258,125194756
2018-03-12,254.100006,262.399994,247.250000,252.300003,249.991943,132519367
2018-03-19,252.899994,254.300003,232.350006,234.800003,232.652039,112236639
2018-03-26,234.750000,256.200012,234.250000,249.899994,247.613892,98252557
2018-04-02,251.800003,261.899994,244.899994,259.700012,257.324249,101450627
2018-04-09,260.649994,265.000000,249.699997,250.949997,248.654297,100610786
2018-04-16,249.350006,252.500000,239.500000,241.199997,238.993484,77187082
2018-04-23,241.899994,245.800003,232.500000,242.600006,240.380692,90620072
2018-04-30,244.800003,249.699997,238.750000,241.949997,239.736618,55867211
2018-05-07,242.449997,252.600006,242.050003,250.350006,248.059784,74965913
2018-05-14,249.949997,257.450012,237.850006,238.850006,236.664993,77516819
2018-05-21,243.550003,269.750000,240.300003,266.950012,264.507935,215693354
2018-05-28,267.399994,274.799988,259.950012,266.700012,264.260223,102897729
2018-06-04,268.000000,273.899994,260.899994,273.000000,270.502594,78221975
2018-06-11,273.299988,289.649994,273.149994,277.450012,274.911896,111789396
2018-06-18,278.000000,279.750000,265.750000,273.049988,270.552124,82011417
2018-06-25,271.850006,273.149994,255.699997,259.350006,256.977448,81673527
2018-07-02,258.950012,261.750000,254.000000,257.200012,254.847137,79591717
2018-07-09,258.200012,265.750000,256.799988,257.750000,255.392090,60183542
2018-07-16,257.000000,263.500000,250.449997,261.500000,259.107788,58752793
2018-07-23,262.000000,297.000000,260.600006,286.750000,284.126801,125104659
2018-07-30,289.200012,302.399994,288.350006,299.250000,296.512451,145265083
2018-08-06,300.600006,326.399994,300.500000,304.450012,301.664886,233978950
2018-08-13,296.000000,302.799988,290.250000,302.100006,299.336365,136437399
2018-08-20,304.100006,308.850006,298.299988,300.450012,297.701477,75970643
2018-08-27,304.000000,312.000000,303.299988,309.600006,306.767761,107358903
2018-09-03,312.500000,312.500000,289.450012,291.649994,288.981964,122207860
2018-09-10,290.649994,293.250000,280.000000,290.649994,287.991119,89583176
2018-09-17,288.500000,288.500000,253.399994,270.600006,268.124542,130058909
2018-09-24,272.700012,274.000000,260.799988,265.500000,263.071198,136166631
2018-10-01,265.500000,278.700012,256.000000,258.350006,255.986603,91809528
2018-10-08,259.750000,280.450012,258.350006,263.750000,261.337189,158142833
2018-10-15,264.399994,275.000000,258.100006,261.100006,258.711456,105668807
2018-10-22,266.000000,266.000000,247.399994,248.100006,245.830368,119385971
2018-10-29,250.000000,292.799988,248.399994,285.350006,282.739594,156212434
2018-11-05,286.450012,300.000000,282.450012,283.250000,280.658813,107821301
2018-11-12,283.700012,291.799988,273.350006,290.899994,288.238831,145604715
2018-11-19,293.500000,293.500000,281.600006,282.700012,280.113861,54935110
2018-11-26,284.100006,292.450012,279.600006,284.649994,282.045990,103429999
2018-12-03,286.700012,287.950012,272.100006,275.399994,272.880615,63811957
2018-12-10,271.000000,294.000000,268.350006,289.200012,286.554382,100894578
2018-12-17,289.299988,302.000000,287.000000,291.899994,289.229675,87458254
2018-12-24,293.500000,297.600006,287.149994,294.799988,292.103149,52914323
2018-12-31,297.200012,302.500000,290.100006,297.649994,294.927063,83985435
2019-01-07,301.049988,307.500000,294.750000,302.750000,299.980438,87637290
2019-01-14,301.000000,306.649994,294.250000,294.950012,292.251801,56985922
2019-01-21,295.899994,296.750000,283.200012,285.399994,282.789124,54444995
2019-01-28,285.649994,302.700012,276.549988,284.399994,281.798279,140812180
2019-02-04,282.399994,294.000000,277.850006,286.000000,283.383667,85599034
2019-02-11,285.950012,285.950012,261.299988,262.950012,260.544525,99147778
2019-02-18,264.399994,271.899994,258.799988,270.950012,268.471344,75658265
2019-02-25,271.299988,274.600006,263.250000,272.950012,270.453064,108301046
2019-03-04,272.950012,284.250000,271.200012,281.200012,278.627563,78537772
2019-03-11,285.299988,301.299988,283.500000,298.399994,295.670227,121577519
2019-03-18,298.899994,306.600006,294.649994,298.049988,295.323395,87688170
2019-03-25,294.000000,339.649994,292.200012,320.750000,317.815765,164795205
2019-04-01,321.799988,332.450012,315.000000,317.049988,314.149597,131771570
2019-04-08,318.250000,319.250000,308.100006,315.250000,312.366089,91838051
2019-04-15,315.500000,319.399994,308.049988,310.799988,307.956757,44496685
2019-04-22,308.799988,313.750000,303.600006,312.500000,309.641235,94048688
2019-04-29,312.500000,312.500000,305.000000,310.000000,307.164093,47271547
2019-05-06,306.799988,313.399994,292.450012,308.049988,305.231934,121357012
2019-05-13,310.000000,321.950012,305.100006,319.250000,316.329468,142541921
2019-05-20,332.000000,364.000000,331.000000,355.350006,352.099243,228783457
2019-05-27,355.049988,362.500000,344.649994,352.500000,349.275299,141547485
2019-06-03,352.350006,357.200012,335.899994,342.049988,338.920898,108192409
2019-06-10,346.000000,348.299988,339.799988,343.799988,340.654877,74204351
2019-06-17,343.750000,350.700012,333.799988,349.399994,346.203674,97529830
